ppo: upd 995 rew/step=-0.0002 pi=-0.005 v=0.001 ent=1.589 t=1370s
ppo: upd 1000 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.829 t=1379s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 1000 score=0.034 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.34 pass_hard=0.00
ppo: upd 1005 rew/step=-0.0003 pi=-0.003 v=0.001 ent=2.088 t=1405s
ppo: upd 1010 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.498 t=1414s
ppo: upd 1015 rew/step=-0.0002 pi=-0.005 v=0.001 ent=1.786 t=1424s
ppo: upd 1020 rew/step=-0.0003 pi=-0.003 v=0.000 ent=1.710 t=1432s
ppo: upd 1025 rew/step=-0.0002 pi=0.008 v=0.001 ent=1.874 t=1440s
ppo: upd 1030 rew/step=-0.0003 pi=-0.003 v=0.000 ent=1.801 t=1449s
ppo: upd 1035 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.531 t=1459s
ppo: upd 1040 rew/step=-0.0003 pi=-0.003 v=0.001 ent=2.161 t=1467s
ppo: upd 1045 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.732 t=1476s
ppo: upd 1050 rew/step=-0.0003 pi=-0.006 v=0.000 ent=2.057 t=1483s
ppo: upd 1055 rew/step=-0.0003 pi=-0.001 v=0.000 ent=1.877 t=1491s
ppo: upd 1060 rew/step=-0.0002 pi=-0.006 v=0.001 ent=1.475 t=1499s
ppo: upd 1065 rew/step=-0.0003 pi=-0.008 v=0.001 ent=1.884 t=1507s
ppo: upd 1070 rew/step=-0.0003 pi=0.001 v=0.000 ent=1.650 t=1515s
ppo: upd 1075 rew/step=-0.0003 pi=-0.003 v=0.000 ent=1.800 t=1523s
ppo: upd 1080 rew/step=-0.0003 pi=-0.002 v=0.000 ent=1.969 t=1531s
ppo: upd 1085 rew/step=-0.0003 pi=-0.005 v=0.002 ent=1.654 t=1539s
ppo: upd 1090 rew/step=-0.0002 pi=-0.007 v=0.002 ent=1.830 t=1546s
ppo: upd 1095 rew/step=-0.0002 pi=-0.005 v=0.000 ent=1.490 t=1555s
ppo: upd 1100 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.656 t=1563s
ppo: upd 1105 rew/step=-0.0002 pi=-0.004 v=0.000 ent=1.782 t=1571s
ppo: upd 1110 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.401 t=1580s
ppo: upd 1115 rew/step=-0.0003 pi=0.009 v=0.007 ent=2.005 t=1588s
ppo: upd 1120 rew/step=-0.0003 pi=-0.002 v=0.001 ent=1.540 t=1596s
ppo: upd 1125 rew/step=-0.0003 pi=-0.002 v=0.001 ent=2.087 t=1604s
ppo: upd 1130 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.872 t=1612s
ppo: upd 1135 rew/step=-0.0003 pi=-0.003 v=0.001 ent=1.380 t=1621s
ppo: upd 1140 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.888 t=1629s
ppo: upd 1145 rew/step=-0.0003 pi=-0.003 v=0.001 ent=1.544 t=1637s
ppo: upd 1150 rew/step=-0.0003 pi=-0.001 v=0.000 ent=1.880 t=1645s
ppo: upd 1155 rew/step=-0.0002 pi=-0.007 v=0.001 ent=1.871 t=1653s
ppo: upd 1160 rew/step=-0.0003 pi=-0.005 v=0.000 ent=1.436 t=1662s
ppo: upd 1165 rew/step=-0.0003 pi=-0.002 v=0.000 ent=1.813 t=1672s
